driverId,forename,surname,total_fastest_lap,drivers_rank
1,Lewis,Hamilton,64,1
20,Sebastian,Vettel,38,2
8,Kimi,RÃ¤ikkÃ¶nen,35,3
4,Fernando,Alonso,23,4
3,Nico,Rosberg,20,5
30,Michael,Schumacher,19,6
17,Mark,Webber,18,7
13,Felipe,Massa,13,8
18,Jenson,Button,8,9
22,Rubens,Barrichello,5,10
31,Juan,"Pablo Montoya",3,11
5,Heikki,Kovalainen,2,12
2,Nick,Heidfeld,2,12
37,Pedro,"de la Rosa",1,14
21,Giancarlo,Fisichella,1,14
23,Ralf,Schumacher,1,14
15,Jarno,Trulli,1,14
10,Timo,Glock,1,14
16,Adrian,Sutil,1,14
9,Robert,Kubica,1,14
